X,Y,OBJECTID,Event_Uniq,district,Crime_Type,Occurren_4,DateCon,Crimestopp,Divisional
-79.26446273,43.74969327,70,GO-2017477469,d41,Assault,12,"Friday, March 17, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d41/
-79.28634803,43.68504917,71,GO-2017478165,d41,Assault,14,"Friday, March 17, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d41/
-79.56781082,43.64191348,72,GO-2017478720,d22,Assault,10,"Monday, March 13, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/
-79.21080639,43.76109244,73,GO-2017479111,d43,Assault,11,"Friday, March 17, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/
-79.56231873,43.63562536,74,GO-2017480054,d22,Assault,19,"Friday, March 17, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/
-79.49576809,43.67375599,75,GO-2017479298,d12,Assault,16,"Friday, March 17, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d12/
-79.42805407,43.66148052,76,GO-2017480264,d14,Assault,19,"Friday, March 17, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/
-79.51131553,43.69834277,77,GO-2017480345,d12,Assault,20,"Friday, March 17, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d12/
-79.51211511,43.69743103,78,GO-2017480805,d12,Assault,21,"Friday, March 17, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d12/
-79.37494671,43.65118563,79,GO-2017481239,d51,Assault,23,"Friday, March 17, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d51/
-79.37456692,43.65706708,80,GO-2017481266,d51,Assault,23,"Friday, March 17, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d51/
-79.38092641,43.65632878,81,GO-2017481331,d52,Assault,23,"Friday, March 17, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d52/
-79.40187366,43.65102137,82,GO-2017481327,d14,Assault,23,"Friday, March 17, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/
-79.40434708,43.64464778,83,GO-2017484311,d14,Assault,0,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/
-79.4119528,43.65380442,84,GO-2017481899,d14,Assault,1,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/
